Question,Expected Behavior,Expected Answer,Generated Answer,Response Time (sec),Sources,Retrieval Hit,Refused Correctly,Result
What is Artificial Intelligence?,answer,Artificial Intelligence is the branch of computer science that deals with intelligent machines capable of performing tasks that normally require human intelligence.,"Artificial Intelligence (AI) is the branch of computer science which deals with intelligence of machines where an intelligent agent is a system that takes actions which maximize its chances of success. It is the study of ideas which enable computers to do the things that make people seem intelligent. The central principles of AI include reasoning, knowledge, planning, learning, communication, perception, and the ability to move and manipulate objects.",41.53,"[{'source': 'data\\researchpaper on ai.pdf', 'page': 1}, {'source': 'data\\researchpaper on ai.pdf', 'page': 2}, {'source': 'data\\researchpaper on ai.pdf', 'page': 5}, {'source': 'data\\researchpaper on ai.pdf', 'page': 4}]",True,,Correct
What is the main objective of Artificial Intelligence?,answer,The objective of Artificial Intelligence is to create intelligent machines that can perform tasks requiring human intelligence.,"The main objective of Artificial Intelligence (AI) is to enable computers to do things that make people seem intelligent, which includes reasoning, knowledge, planning, learning, communication, perception, and the ability to move and manipulate objects. It aims to solve complex problems and achieve tasks that humans cannot accomplish directly.",26.83,"[{'source': 'data\\researchpaper on ai.pdf', 'page': 1}, {'source': 'data\\researchpaper on ai.pdf', 'page': 5}, {'source': 'data\\researchpaper on ai.pdf', 'page': 2}, {'source': 'data\\researchpaper on ai.pdf', 'page': 4}]",True,,Correct
What are the central principles of Artificial Intelligence?,answer,"The central principles include reasoning, knowledge, planning, learning, communication, perception, and the ability to move and manipulate objects.","• Reasoning
• Knowledge
• Planning
• Learning
• Communication
• Perception
• Ability to move and manipulate objects",21.88,"[{'source': 'data\\researchpaper on ai.pdf', 'page': 1}, {'source': 'data\\researchpaper on ai.pdf', 'page': 5}, {'source': 'data\\researchpaper on ai.pdf', 'page': 4}, {'source': 'data\\researchpaper on ai.pdf', 'page': 2}]",True,,Correct
What is Machine Learning?,answer,Machine Learning is an application of AI in which machines learn from experience without being explicitly programmed.,"Machine Learning is an application of AI where machines are not explicitly programmed to perform certain tasks; rather, they learn and improve from experience automatically. It is a subset of Deep Learning based on artificial neural networks for predictive analysis. There are various machine learning algorithms, such as Unsupervised Learning, Supervised Learning, and Reinforcement Learning.",19.9,"[{'source': 'data\\researchpaper on ai.pdf', 'page': 1}]",True,,Correct
What is Deep Learning?,answer,Deep Learning is a subset of Machine Learning based on artificial neural networks for predictive analysis.,Deep Learning is a subset of machine learning based on artificial neural networks for predictive analysis.,10.94,"[{'source': 'data\\researchpaper on ai.pdf', 'page': 1}]",True,,Correct
Name the three types of Machine Learning mentioned in the paper.,answer,"Supervised Learning, Unsupervised Learning, and Reinforcement Learning.","• Supervised Learning
• Unsupervised Learning
• Reinforcement Learning",25.19,"[{'source': 'data\\researchpaper on ai.pdf', 'page': 1}, {'source': 'data\\researchpaper on ai.pdf', 'page': 4}, {'source': 'data\\researchpaper on ai.pdf', 'page': 2}]",True,,Correct
What is Supervised Learning?,answer,Supervised Learning learns a function from labeled training data consisting of input objects and desired outputs.,"Supervised Learning is a type of machine learning where an algorithm deduces a function from the training data, consisting of a set of an input object and the desired output.",8.83,"[{'source': 'data\\researchpaper on ai.pdf', 'page': 1}]",True,,Correct
What is Unsupervised Learning?,answer,Unsupervised Learning works without labeled data and identifies patterns without guidance.,"Unsupervised Learning is a machine learning algorithm that does not use classified information to act on it without any guidance. It involves analyzing data without prior knowledge of its structure or meaning, allowing the algorithm to identify patterns and relationships in the data. This type of learning is often used for exploratory data analysis and clustering.",8.81,"[{'source': 'data\\researchpaper on ai.pdf', 'page': 1}]",True,,Correct
What is Reinforcement Learning?,answer,Reinforcement Learning enables machines to take actions that maximize rewards.,Reinforcement Learning is used by machines to take suitable actions to increase the reward to find the best possibility which should be taken.,8.29,"[{'source': 'data\\researchpaper on ai.pdf', 'page': 1}]",True,,Correct
What is Natural Language Processing (NLP)?,answer,Natural Language Processing is the interaction between computers and human language to process and understand natural language.,"Machine Learning is a reliable technology for Natural Language Processing to obtain meaning from human languages. In NLP, the audio of a human talk is captured by the machine. Then the audio to text conversation occurs, and then the text is processed where the data is converted into audio. Then the machine uses the audio to respond to humans.

• Natural Language Processing (NLP) refers to the interactions between computers and human language.
• Computers are programmed to process natural languages using algorithms that recognize and abstract the rules of natural languages.
• The goal of NLP is to convert unstructured data from human languages into a format understood by computers.",29.09,"[{'source': 'data\\researchpaper on ai.pdf', 'page': 1}, {'source': 'data\\researchpaper on ai.pdf', 'page': 2}]",True,,Correct
Give two applications of Natural Language Processing mentioned in the paper.,answer,Google Translate and Microsoft Word grammar checking.,"• Interactive Voice Response (IVR) applications used in call centres
• Language translation applications like Google Translate",10.73,"[{'source': 'data\\researchpaper on ai.pdf', 'page': 1}, {'source': 'data\\researchpaper on ai.pdf', 'page': 2}, {'source': 'data\\researchpaper on ai.pdf', 'page': 4}]",True,,Incorrect
Why is Natural Language Processing difficult?,answer,Because human languages have complex rules that are difficult for computers to understand.,"The natur e of human languages makes Natural Language Processing difficult because of the rules involved in passing information using natural language, which are not easy for computers to understand.",10.96,"[{'source': 'data\\researchpaper on ai.pdf', 'page': 1}]",True,,Correct
What is Automation in Artificial Intelligence?,answer,Automation uses machines to perform repetitive tasks efficiently while improving productivity.,"Automation in Artificial Intelligence refers to the process of getting monotonous and repetitive tasks done by machines, improving productivity, and achieving cost-effective and efficient results.",23.37,"[{'source': 'data\\researchpaper on ai.pdf', 'page': 1}, {'source': 'data\\researchpaper on ai.pdf', 'page': 3}, {'source': 'data\\researchpaper on ai.pdf', 'page': 2}]",True,,Correct
What is Machine Vision?,answer,"Machine Vision enables machines to capture visual information, process it, and analyze images.",Machine vision refers to the use of digital signal processing and computer systems to interpret and make decisions based on visual data from images or videos. It involves converting images into digital data and employing digital signal processing techniques to process the data. The resulting data is then fed to a computer for analysis and decision-making.,8.43,"[{'source': 'data\\researchpaper on ai.pdf', 'page': 2}]",True,,Correct
What is a Knowledge-Based System (KBS)?,answer,A Knowledge-Based System is a computer system that provides advice in a specific domain using knowledge from human experts.,"A KBS can be defined as a computer system capable of giving advice in a particular domain, utilizing knowledge provided by a human expert. The separation behind the knowledge and the inference engine or algorithm are key distinguishing features of a KBS.",10.49,"[{'source': 'data\\researchpaper on ai.pdf', 'page': 2}]",True,,Correct
What are Neural Networks?,answer,Neural Networks are biologically inspired systems of interconnected computational neurons organized into layers.,"Neural Networks are biologically inspired systems consisting of a massively connected network of computational “neurons,” organized in layers. By adjusting the weights of the network, NNs can be “trained” to approximate virtually any nonlinear function to a required degree of accuracy. They typically are provided with a set of input and output exemplars.",14.89,"[{'source': 'data\\researchpaper on ai.pdf', 'page': 2}, {'source': 'data\\researchpaper on ai.pdf', 'page': 1}]",True,,Correct
How is AI used in Healthcare?,answer,AI helps doctors perform faster diagnoses and monitor patients before hospitalization.,"• AI can help doctors with diagnoses by providing faster and better results than humans.
• AI can inform when patients are worsening, allowing medical help to reach them before hospitalization.
• AI has applications in fields of cardiology (CRG), neurology (MRI), embryology (sonography), complex operations of internal organs, etc.",29.03,"[{'source': 'data\\researchpaper on ai.pdf', 'page': 3}, {'source': 'data\\researchpaper on ai.pdf', 'page': 2}, {'source': 'data\\researchpaper on ai.pdf', 'page': 4}, {'source': 'data\\researchpaper on ai.pdf', 'page': 5}]",True,,Correct
How is AI used in Gaming?,answer,AI is used to play strategic games such as chess.,"AI can be used for gaming purposes, specifically in strategic games like chess, where machines need to think of a large number of possible places.",21.91,"[{'source': 'data\\researchpaper on ai.pdf', 'page': 3}, {'source': 'data\\researchpaper on ai.pdf', 'page': 2}, {'source': 'data\\researchpaper on ai.pdf', 'page': 1}, {'source': 'data\\researchpaper on ai.pdf', 'page': 4}]",True,,Correct
How is AI used in Finance?,answer,"AI is used for automation, chatbots, adaptive intelligence, algorithm trading, and fraud detection.","AI and finance industries are the best matches for each other. The finance industry is implementing automation, chatbot, adaptive intelligence, algorithm trading, and machine learning into financial processes. Some examples include:

• Initial scoring of applications for credit uses AI to understand creditworthiness.
• More advanced AI engines are employed to monitor and detect fraudulent payment card transactions in real time.
• Virtual customer assistance (VCA) is used to predict and respond to customer inquiries outside of human interaction, with voice recognition coupled with simulated human dialog being the first point of interaction.",33.6,"[{'source': 'data\\researchpaper on ai.pdf', 'page': 3}, {'source': 'data\\researchpaper on ai.pdf', 'page': 2}, {'source': 'data\\researchpaper on ai.pdf', 'page': 4}, {'source': 'data\\researchpaper on ai.pdf', 'page': 5}]",True,,Correct
How is AI used in Data Security?,answer,"AI detects software bugs, cyber attacks, and improves data security.","AI can be used to make your data more safe and secure. Some examples include AEG bot, AI2 Platform, which are used to determine software bugs and cyber-attacks in a better way.",21.87,"[{'source': 'data\\researchpaper on ai.pdf', 'page': 3}, {'source': 'data\\researchpaper on ai.pdf', 'page': 4}, {'source': 'data\\researchpaper on ai.pdf', 'page': 2}, {'source': 'data\\researchpaper on ai.pdf', 'page': 5}]",True,,Correct
